2,1035000.0,1.0,156.0
3,1465000.0,2.0,134.0
4,1600000.0,1.0,120.0
2,941000.0,1.0,181.0
2,1172500.0,1.0,195.0
3,1200000.0,2.0,113.0
3,1176500.0,1.0,138.0
3,955000.0,1.0,183.0
2,890000.0,1.0,150.0
2,1100000.0,2.0,124.0
2,1315000.0,1.0,147.0
3,1447500.0,3.0,166.0
3,1290000.0,2.0,147.0
3,1290000.0,1.0,168.0
2,1180000.0,1.0,162.0
3,1195000.0,2.0,120.0
2,1012500.0,1.0,182.0
2,1030000.0,1.0,172.0
2,500000.0,1.0,168.0
2,450000.0,1.0,110.0
2,515000.0,1.0,141.0
2,530000.0,1.0,120.0
2,440000.0,1.0,192.0
3,700000.0,2.0,165.0
2,462500.0,1.0,164.0
3,540000.0,2.0,161.0
2,510000.0,1.0,141.0
2,1275000.0,1.0,120.0
2,1455000.0,1.0,159.0
3,1850000.0,2.0,128.0
2,1436000.0,1.0,130.0
2,1110000.0,1.0,147.0
2,1550000.0,1.0,167.0
4,2300000.0,2.0,153.0
3,1800000.0,2.0,132.0
2,2120000.0,1.0,199.0
3,2615000.0,2.0,177.0
3,1300000.0,1.0,129.0
2,1322500.0,1.0,149.0
2,1562500.0,1.0,141.0
3,3010000.0,2.0,147.0
3,2100000.0,1.0,120.0
2,1340000.0,1.0,136.0
4,2140000.0,2.0,183.0
2,1750000.0,1.0,162.0
3,2030000.0,2.0,152.0
3,1740000.0,2.0,147.0
2,805000.0,2.0,155.0
2,820000.0,1.0,183.0
3,865000.0,1.0,180.0
2,510000.0,1.0,127.0
2,425000.0,1.0,115.0
3,705000.0,2.0,197.0
2,620000.0,1.0,168.0
2,447000.0,1.0,137.0
2,580000.0,2.0,175.0
3,605000.0,1.0,181.0
2,535600.0,1.0,154.0
3,675000.0,2.0,171.0
2,292000.0,1.0,153.0
3,1205000.0,2.0,101.0
1,1435000.0,2.0,144.0
2,1125000.0,1.0,169.0
3,1285000.0,1.0,186.0
3,1101000.0,1.0,103.0
2,751000.0,1.0,118.0
2,950000.0,1.0,173.0
2,965000.0,1.0,170.0
2,865000.0,2.0,146.0
2,705000.0,2.0,113.0
2,760000.0,1.0,124.0
3,1000000.0,2.0,200.0
2,545000.0,1.0,194.0
3,970000.0,1.0,194.0
3,900000.0,2.0,153.0
2,600000.0,1.0,153.0
2,700000.0,1.0,192.0
2,585000.0,1.0,136.0
3,560500.0,1.0,177.0
2,550000.0,1.0,158.0
2,1015000.0,1.0,114.0
3,1193000.0,1.0,178.0
2,981000.0,1.0,159.0
3,1080000.0,1.0,157.0
2,806000.0,1.0,122.0
3,1140000.0,2.0,175.0
3,700000.0,1.0,188.0
2,760000.0,1.0,121.0
2,625000.0,1.0,115.0
2,700000.0,1.0,104.0
3,1385000.0,2.0,190.0
2,730000.0,1.0,130.0
2,685000.0,1.0,177.0
3,1238000.0,2.0,186.0
2,851000.0,1.0,140.0
2,650000.0,1.0,116.0
3,825000.0,2.0,147.0
2,635000.0,1.0,118.0
2,670000.0,2.0,123.0
2,760000.0,1.0,192.0
